UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22156922     RESP   2903 
     22156930     RESP   2981 
     22156938     RESP   3045 
     22156946     RESP   3113 
     22156954     RESP   3195 
     22156962     RESP   3270 
     22156970     RESP   3341 
     22156978     RESP   3394 
     22156986     RESP   3450 
     22156994     RESP   3544 
     22157002     RESP   3653 
     22157010     RESP   3765 
     22157018     RESP   3851 
     22157026     RESP   3889 
     22157034     RESP   3915 
     22157042     RESP   3934 
     22157050     RESP   3979 
     22157058     RESP   3979 
     22157066     RESP   3998 
     22157074     RESP   4054 
     22157082     RESP   4095 
     22157090     RESP   4095 
     22157098     RESP   4095 
     22157106     RESP   4095 
     22157114     RESP   4095 
     22157122     RESP   4095 
     22157130     RESP   4095 
     22157138     RESP   4095 
     22157146     RESP   4050 
     22157154     RESP   3979 
     22157162     RESP   3885 
     22157170     RESP   3784 
     22157178     RESP   3675 
     22157186     RESP   3570 
     22157194     RESP   3461 
     22157202     RESP   3341 
     22157210     RESP   3266 
     22157218     RESP   3188 
     22157226     RESP   3113 
     22157234     RESP   3026 
     22157242     RESP   2940 
     22157250     RESP   2846 
     22157258     RESP   2756 
     22157266     RESP   2663 
     22157274     RESP   2565 
     22157282     RESP   2475 
     22157290     RESP   2374 
     22157298     RESP   2318 
     22157306     RESP   2250 
     22157314     RESP   2175 
     22157322     RESP   2100 
     22157330     RESP   2021 
     22157338     RESP   1946 
     22157346     RESP   1871 
     22157354     RESP   1823 
     22157362     RESP   1781 
     22157370     RESP   1763 
     22157378     RESP   1748 
     22157386     RESP   1703 
     22157394     RESP   1669 
     22157402     RESP   1628 
     22157410     RESP   1586 
     22157418     RESP   1523 
     22157426     RESP   1451 
     22157434     RESP   1391 
     22157442     RESP   1373 
     22157450     RESP   1324 
     22157458     RESP   1316 
     22157466     RESP   1286 
     22157474     RESP   1264 
     22157482     RESP   1241 
     22157490     RESP   1204 
     22157498     RESP   1133 
     22157506     RESP   1099 
     22157514     RESP   1084 
     22157522     RESP   1076 
     22157530     RESP   1073 
     22157538     RESP   1046 
     22157546     RESP   1013 
     22157554     RESP    998 
     22157562     RESP    983 
     22157570     RESP    986 
     22157578     RESP    983 
     22157586     RESP    983 
     22157594     RESP    998 
     22157602     RESP    998 
     22157610     RESP    994 
     22157618     RESP    975 
     22157626     RESP    953 
     22157634     RESP    934 
     22157642     RESP    911 
     22157650     RESP    911 
     22157658     RESP    889 
     22157666     RESP    878 
     22157674     RESP    870 
     22157682     RESP    870 
     22157690     RESP    863 
     22157698     RESP    851 
     22157706     RESP    840 
     22157714     RESP    821 
     22157722     RESP    788 
     22157730     RESP    799 
     22157738     RESP    795 
     22157746     RESP    788 
     22157754     RESP    761 
     22157762     RESP    746 
     22157770     RESP    754 
     22157778     RESP    773 
     22157786     RESP    795 
     22157794     RESP    818 
     22157802     RESP    818 
     22157810     RESP    851 
     22157818     RESP    863 
     22157826     RESP    848 
     22157834     RESP    803 
     22157842     RESP    761 
     22157850     RESP    743 
     22157858     RESP    750 
     22157866     RESP    780 
     22157874     RESP    821 
     22157882     RESP    870 
     22157890     RESP    915 
     22157898     RESP    998 
     22157906     RESP   1065 
     22157914     RESP   1133 
     22157922     RESP   1211 
     22157930     RESP   1305 
     22157938     RESP   1410 
     22157946     RESP   1504 
     22157954     RESP   1586 
     22157962     RESP   1665 
     22157970     RESP   1744 
     22157978     RESP   1845 
     22157986     RESP   1939 
     22157994     RESP   2055 
     22158002     RESP   2171 
     22158010     RESP   2284 
     22158018     RESP   2389 
     22158026     RESP   2494 
     22158034     RESP   2603 
     22158042     RESP   2723 
     22158050     RESP   2786 
     22158058     RESP   2876 
     22158066     RESP   2944 
     22158074     RESP   3015 
     22158082     RESP   3098 
     22158090     RESP   3165 
     22158098     RESP   3210 
     22158106     RESP   3289 
     22158114     RESP   3368 
     22158122     RESP   3439 
     22158130     RESP   3503 
     22158138     RESP   3551 
     22158146     RESP   3593 
     22158154     RESP   3645 
     22158162     RESP   3690 
     22158170     RESP   3728 
     22158178     RESP   3746 
     22158186     RESP   3750 
     22158194     RESP   3758 
     22158202     RESP   3761 
     22158210     RESP   3765 
     22158218     RESP   3761 
     22158226     RESP   3739 
     22158234     RESP   3683 
     22158242     RESP   3581 
     22158250     RESP   3491 
     22158258     RESP   3390 
     22158266     RESP   3274 
     22158274     RESP   3146 
     22158282     RESP   3045 
     22158290     RESP   2944 
     22158298     RESP   2873 
     22158306     RESP   2794 
     22158314     RESP   2700 
     22158322     RESP   2591 
     22158330     RESP   2531 
     22158338     RESP   2445 
     22158346     RESP   2359 
     22158354     RESP   2269 
     22158362     RESP   2183 
     22158370     RESP   2134 
     22158378     RESP   2093 
     22158386     RESP   2040 
     22158394     RESP   1969 
     22158402     RESP   1890 
     22158410     RESP   1830 
     22158418     RESP   1781 
     22158426     RESP   1744 
     22158434     RESP   1721 
     22158442     RESP   1691 
     22158450     RESP   1654 
     22158458     RESP   1620 
     22158466     RESP   1579 
     22158474     RESP   1530 
     22158482     RESP   1485 
     22158490     RESP   1425 
     22158498     RESP   1399 
     22158506     RESP   1380 
     22158514     RESP   1343 
     22158522     RESP   1316 
     22158530     RESP   1279 
     22158538     RESP   1256 
     22158546     RESP   1226 
     22158554     RESP   1181 
